cod_ibge;empresas
2702355;173
2702405;632
2702504;48
2702553;84
2702603;120
2702702;32
2702801;46
2702900;248
2703007;122
2703106;162
2703205;120
2703304;81
2703403;41
2703502;34
2703601;128
2703700;29
2703759;55
2703809;113
2703908;26
2704005;260
2704104;95
2704203;181
2704302;19737
2704401;158
2704500;457
2704609;37
2704708;781
2704807;101
2704906;23
2705002;107
2705101;172
2705200;133
2705309;30
2705408;32
2705507;262
2705606;98
2705705;248
2705804;38
2705903;28
2706000;42
2706109;74
2706208;21
2706307;1026
2706406;117
2706422;41
2706448;185
2706505;99
2706604;39
2706703;622
2706802;115
2706901;288
2707008;10
2707107;243
2707206;42
2707305;308
2707404;113
2707503;98
2707602;85
2707701;761
2707800;37
2707909;44
2708006;541
2708105;90
2708204;18
2708303;131
2708402;133
2708501;183
2708600;645
2708709;148
2708808;289
2708907;209
2708956;34
2709004;35
2709103;193
2709152;406
2709202;113
2709301;637
2709400;254
2800100;16
2800209;150
2800308;17726
2800407;65
2800506;95
2800605;307
2800670;213
2800704;30
2801009;245
2801108;13
2801207;299
2801306;198
2801405;243
2801504;155
2801603;42
2801702;115
2801900;31
2802007;14
2802106;872
2802205;31
2802304;147
2802403;58
2802502;21
2802601;47
2802700;37
2802809;80
2802908;2147
2803005;400
2803104;40
2803203;274
2803302;129
2803401;94
2803500;1322
2803609;160
2803708;54
2803807;43
2803906;84
2804003;86
2804102;132
2804201;99
2804300;38
2804409;166
2804458;67
2804508;541
2804607;275
2804706;49
2804805;1383
2804904;39
2805000;10
2805109;57
2805208;43
2805307;59
2805406;175
2805505;193
2805604;198
2805703;427
2805802;61
2805901;43
2806008;248
2806107;55
2806206;199
2806305;42
2806404;40
2806503;19
2806602;67
2806701;854
2806800;101
2806909;19
2807006;25
2807105;424
2807204;42
2807303;17
2807402;856
2807501;118
2807600;286
2900108;183
2900207;97
2900306;100
2900355;88
2900405;80
2900504;77
2900603;25
2900702;2468
2900801;182
2900900;33
2901007;525
2901106;260
2901155;94
2901205;225
2901304;108
2901353;81
2901403;113
2901502;77
2901601;101
2901700;38
2901809;103
2901908;104
2901957;53
2902005;117
2902054;109
2902104;386
2902203;69
2902252;43
2902302;61
2902401;79
2902500;78
2902609;264
2902658;119
2902708;508
2902807;618
2902906;453
2903003;171
2903102;28
2903201;4316
2903235;137
2903276;132
2903300;34
2903409;168
2903508;140
2903607;158
2903706;126
2903805;103
2903904;1266
