MUNICIPIO IBGE;Min - DATA INÍCIO;Count - NOME INSTITUIÇÃO                                                                                                                                                                                        ;ano;mês;anomes
2609907;10/9/1986;5;1986;9;19869
2610004;4/7/1940;6;1940;7;19407
2610400;;1;;;
2610608;8/4/2015;3;2015;4;20154
2610707;;8;;;
2610905;6/11/1964;5;1964;11;196411
2611002;6/1/1978;3;1978;1;19781
2611101;1/2/1959;12;1959;2;19592
2611606;8/12/1913;157;1913;12;191312
2611804;;4;;;
2611903;;1;;;
2612208;11/5/1959;5;1959;5;19595
2612406;11/11/1991;1;1991;11;199111
2612505;9/8/1977;7;1977;8;19778
2612604;6/1/1978;3;1978;1;19781
2613008;9/2/1963;3;1963;2;19632
2613107;;1;;;
2613503;;1;;;
2613602;;2;;;
2613701;3/4/1986;5;1986;4;19864
2613909;9/6/1943;5;1943;6;19436
2614105;11/5/1960;4;1960;5;19605
2614204;;1;;;
2614501;1/2/1958;5;1958;2;19582
2614600;10/11/1988;2;1988;11;198811
2614808;;1;;;
2615003;3/3/1980;1;1980;3;19803
2615300;9/8/1959;5;1959;8;19598
2615409;11/11/1991;3;1991;11;199111
2615607;12/5/1986;2;1986;5;19865
2615706;11/3/1989;1;1989;3;19893
2616001;;1;;;
2616308;;1;;;
2616407;12/6/1973;7;1973;6;19736
2700102;;1;;;
2700300;3/10/1956;9;1956;10;195610
2700409;;3;;;
2700706;6/6/1964;1;1964;6;19646
2701001;6/11/1987;2;1987;11;198711
2701407;11/11/2011;2;2011;11;201111
2701704;6/1/1989;1;1989;1;19891
2702306;5/5/1980;4;1980;5;19805
2702405;;4;;;
2702900;11/7/2011;3;2011;7;20117
2703106;;1;;;
2703809;;1;;;
2704302;4/9/1970;64;1970;9;19709
2704401;6/11/1987;1;1987;11;198711
2704500;11/1/2011;4;2011;1;20111
2704708;;2;;;
2704807;6/1/1989;1;1989;1;19891
2705002;7/1/1960;1;1960;1;19601
2705507;11/11/2011;3;2011;11;201111
2705705;9/1/2015;2;2015;1;20151
2706307;12/6/1973;5;1973;6;19736
2706406;;1;;;
2706703;2/1/1955;4;1955;1;19551
2706901;6/1/1989;1;1989;1;19891
2707107;;1;;;
2707305;11/4/2011;2;2011;4;20114
2707701;;4;;;
2708006;2/9/1953;4;1953;9;19539
2708303;5/5/1980;1;1980;5;19805
2708402;11/8/2011;2;2011;8;20118
2708501;;2;;;
2708600;2/4/1975;4;1975;4;19754
2708808;10/10/2011;3;2011;10;201110
2709103;;1;;;
2709152;4/12/1991;3;1991;12;199112
2709301;1/11/1979;4;1979;11;197911
2709400;9/12/2011;4;2011;12;201112
2800209;12/6/1967;1;1967;6;19676
2800308;1/2/1964;63;1964;2;19642
2800506;5/10/1990;1;1990;10;199010
2800605;12/9/2004;2;2004;9;20049
2800670;;3;;;
2801009;;1;;;
2801108;;1;;;
2801207;;3;;;
2801306;4/1/1947;4;1947;1;19471
2801405;4/7/1981;3;1981;7;19817
2801504;2/8/1983;2;1983;8;19838
2801702;;1;;;
2802106;1/7/1947;5;1947;7;19477
2802304;;3;;;
2802403;;1;;;
2802809;;1;;;
2802908;1/11/1947;6;1947;11;194711
2803005;8/10/1982;4;1982;10;198210
2803104;;1;;;
2803203;6/5/2012;2;2012;5;20125
2803302;11/11/1986;2;1986;11;198611
2803401;;1;;;
2803500;7/2/1953;5;1953;2;19532
2803609;;3;;;
2803906;10/9/1990;1;1990;9;19909
2804003;6/1/1989;1;1989;1;19891
2804409;11/6/1974;4;1974;6;19746
2804458;;1;;;
2804508;8/7/1978;5;1978;7;19787
2804607;11/11/1986;4;1986;11;198611
2804805;10/10/1986;6;1986;10;198610
2805307;;1;;;
2805406;;1;;;
2805505;6/1/1978;3;1978;1;19781
2805604;5/6/1968;1;1968;6;19686
2805703;12/6/1973;5;1973;6;19736
2805802;;1;;;
2805901;12/9/2004;1;2004;9;20049
2806008;5/4/1984;2;1984;4;19844
2806107;7/1/1997;1;1997;1;19971
2806602;;1;;;
2806701;3/8/2002;4;2002;8;20028
2807105;1/2/1959;5;1959;2;19592
2807204;12/11/1981;1;1981;11;198111
2807402;11/12/1973;5;1973;12;197312
2807600;11/6/1986;3;1986;6;19866
2900207;;1;;;
2900306;;1;;;
2900702;10/8/1934;9;1934;8;19348
2900801;7/1/1997;1;1997;1;19971
2901007;6/10/1943;3;1943;10;194310
2901106;12/10/1979;2;1979;10;197910
2901205;;1;;;
2901304;;2;;;
2901403;6/8/1988;2;1988;8;19888
2902104;6/11/2014;4;2014;11;201411
2902500;;1;;;
2902609;;1;;;
2902708;2/1/1943;3;1943;1;19431
2902807;;3;;;
2902906;;2;;;
2903003;;1;;;
2903201;7/10/1979;13;1979;10;197910
2903409;3/3/1980;2;1980;3;19803
2903508;;1;;;
2903904;8/9/1971;5;1971;9;19719
2904050;12/12/2011;1;2011;12;201112
2904100;;1;;;
2904209;;1;;;
2904605;4/5/1971;5;1971;5;19715
2904704;12/6/1973;1;1973;6;19736
2904753;12/12/2011;1;2011;12;201112
2904902;12/6/1973;2;1973;6;19736
2905008;12/6/1973;2;1973;6;19736
2905206;3/1/1943;3;1943;1;19431
2905305;;1;;;
2905602;12/6/1973;4;1973;6;19736
2905701;5/3/1982;14;1982;3;19823
2905800;;2;;;
2906006;3/7/1986;4;1986;7;19867
2906303;1/2/1941;3;1941;2;19412
2906501;12/6/1973;5;1973;6;19736
2906600;;1;;;
2906709;;2;;;
2906808;7/4/1975;2;1975;4;19754
2906873;3/11/1991;3;1991;11;199111
2907103;8/9/2013;2;2013;9;20139
2907202;;4;;;
2907301;7/7/1969;2;1969;7;19697
